date,尖峰負載(MW),備轉容量(MW),備轉容量率(%),淨尖峰供電能力(MW),日期,year,month,day
1,23872.0,2557.0,10.71,26429.0,2019-01-01,2019,1,1
2,28148.0,1900.0,6.75,30048.0,2019-01-02,2019,1,2
3,28452.0,1892.0,6.65,30344.0,2019-01-03,2019,1,3
4,28490.0,1811.0,6.36,30301.0,2019-01-04,2019,1,4
5,26054.0,1903.0,7.3,27957.0,2019-01-05,2019,1,5
6,24618.0,2333.0,9.48,26951.0,2019-01-06,2019,1,6
7,28537.0,1799.0,6.31,30336.0,2019-01-07,2019,1,0
8,28719.0,1843.0,6.42,30562.0,2019-01-08,2019,1,1
9,28641.0,1954.0,6.82,30595.0,2019-01-09,2019,1,2
10,29006.0,1847.0,6.37,30853.0,2019-01-10,2019,1,3
11,28798.0,1883.0,6.54,30681.0,2019-01-11,2019,1,4
12,25905.0,2497.0,9.64,28402.0,2019-01-12,2019,1,5
13,24629.0,2398.0,9.74,27027.0,2019-01-13,2019,1,6
14,28348.0,1745.0,6.16,30093.0,2019-01-14,2019,1,0
15,28887.0,1844.0,6.38,30731.0,2019-01-15,2019,1,1
16,28649.0,1849.0,6.45,30498.0,2019-01-16,2019,1,2
17,28395.0,1933.0,6.81,30328.0,2019-01-17,2019,1,3
18,27756.0,1935.0,6.97,29691.0,2019-01-18,2019,1,4
19,26477.0,1954.0,7.38,28431.0,2019-01-19,2019,1,5
20,24539.0,2599.0,10.59,27138.0,2019-01-20,2019,1,6
21,27739.0,1915.0,6.9,29654.0,2019-01-21,2019,1,0
22,28140.0,1921.0,6.83,30061.0,2019-01-22,2019,1,1
23,27838.0,1938.0,6.96,29776.0,2019-01-23,2019,1,2
24,27863.0,1872.0,6.72,29735.0,2019-01-24,2019,1,3
25,27296.0,1905.0,6.98,29201.0,2019-01-25,2019,1,4
26,25282.0,2535.0,10.03,27817.0,2019-01-26,2019,1,5
27,24414.0,2092.0,8.57,26506.0,2019-01-27,2019,1,6
28,27557.0,1806.0,6.55,29363.0,2019-01-28,2019,1,0
29,27858.0,1832.0,6.58,29690.0,2019-01-29,2019,1,1
30,27760.0,1810.0,6.52,29570.0,2019-01-30,2019,1,2
31,27181.0,1890.0,6.95,29071.0,2019-01-31,2019,1,3
1,24709.0,2148.0,8.69,26857.0,2019-02-01,2019,2,4
2,23382.0,2240.0,9.58,25622.0,2019-02-02,2019,2,5
3,22915.0,2038.0,8.89,24953.0,2019-02-03,2019,2,6
